Latitude,Longitude,Label,Year,Image_URL
48.855145,2.365351,Place des Vosges 75004 Paris,Entre 1900 et 1910,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/MVH/lpdp_158745-8.jpg?itok=mPmPxqLr
48.867462,2.322815,6 Rue Royale 75008 Paris,Début 1900 et 1903,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/lpdp_34420-2.jpg?itok=Qnxq-9ME
48.867462,2.322815,6 Rue Royale 75008 Paris,Début 1900 et 1903,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/lpdp_34420-2.jpg?itok=Qnxq-9ME
48.837619,2.360412,Boulevard de l'Hôpital 75013 Paris,Entre 1895 et 1905,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/carph000073_1.jpg?itok=KipFfcBp
48.837619,2.360412,Boulevard de l'Hôpital 75013 Paris,Entre 1895 et 1905,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/carph000073_1.jpg?itok=KipFfcBp
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078359_001.jpg?itok=XCRfAJ97
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078360_001.jpg?itok=9Q9dzhhq
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078361_001.jpg?itok=RN2DPe1W
48.883729,2.303768,Avenue de Villiers 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078364_001.jpg?itok=CJWu1XiZ
48.88274,2.311299,Place du Général Catroux 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078365_001.jpg?itok=GW6Eq66q
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078366_001.jpg?itok=6PDoZ8kB
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078367_001.jpg?itok=0YpKTmG0
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078368_001.jpg?itok=n-F64YMm
48.892168,2.346046,Rue Ordener 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078377_001.jpg?itok=iUKpESW4
48.894674,2.347077,Boulevard Ornano 75018 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078378_001.jpg?itok=B2Spo3i1
48.858754,2.331345,Quai Voltaire 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078600_001.jpg?itok=UkTIEUfA
48.858754,2.331345,Quai Voltaire 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078601_001.jpg?itok=SUdq7aAM
48.858754,2.331345,Quai Voltaire 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078608_001.jpg?itok=aY6LpG_d
48.858754,2.331345,Quai Voltaire 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078609_001.jpg?itok=UdHMOXgl
48.850699,2.352116,Quai de la Tournelle 75005 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078697_001.jpg?itok=3eVcdDqk
48.852091,2.352005,Quai de l'Archevêché 75004 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078698_001.jpg?itok=nD8ZwF9x
48.853055,2.336722,Boulevard Saint-Germain 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078558_001.jpg?itok=rgr6Abrn
48.853055,2.336722,Boulevard Saint-Germain 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078559_001.jpg?itok=-9OxO08b
48.853055,2.336722,Boulevard Saint-Germain 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078560_001.jpg?itok=BrjBFvuj
48.853055,2.336722,Boulevard Saint-Germain 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078561_001.jpg?itok=w2tyKQjS
48.857755,2.324094,Boulevard Saint-Germain 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078563_001.jpg?itok=SboNHHDU
48.857755,2.324094,Boulevard Saint-Germain 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078564_001.jpg?itok=kGDMp9J8
48.857755,2.324094,Boulevard Saint-Germain 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078565_001.jpg?itok=lb6KVUr-
48.853055,2.336722,Boulevard Saint-Germain 75006 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078566_001.jpg?itok=ksYZ00Oq
48.857755,2.324094,Boulevard Saint-Germain 75007 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078568_001.jpg?itok=4OcfHK2P
48.850017,2.349436,Boulevard Saint-Germain 75005 Paris,En 1896,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078569_001.jpg?itok=MAmQ81XG
48.875121,2.286937,Rue du Bois de Boulogne 75016 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078345_001.jpg?itok=o8WK962e
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078348_001.jpg?itok=kT8J7LdZ
48.884747,2.321188,Rue des Batignolles 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078349_001.jpg?itok=IHma-A_n
48.890594,2.319921,Avenue de Clichy 75017 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078350_001.jpg?itok=2sD06Uhq
48.875013,2.290027,Avenue de la Grande Armée 75016 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078351_001.jpg?itok=cgmp5czC
48.875013,2.290027,Avenue de la Grande Armée 75016 Paris,Vers 1890,https://apicollections.parismusees.paris.fr/sites/default/files/styles/thumbnail/collections/atoms/images/CAR/aze_carph078352_001.jpg?itok=RsK9rtf7
